,Year,StateAbbr,StateDesc,CityName,GeographicLevel,DataSource,Category,UniqueID,Measure,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Footnote_Symbol,Data_Value_Footnote,PopulationCount,GeoLocation,CategoryID,MeasureId,CityFIPS,TractFIPS,Short_Question_Text
14664,2017,MI,Michigan,Ann Arbor,Census Tract,BRFSS,Health Outcomes,2603000-26161400700,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,12.2,10.9,13.5,,,2649,"(42.2859583433, -83.7502893583)",HLTHOUT,MHLTH,2603000.0,26161400700.0,Mental Health
20374,2017,NC,North Carolin,Greensboro,Census Tract,BRFSS,Health Outcomes,3728000-37081011101,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,19.0,17.2,20.8,,,4260,"(36.0682588896, -79.7543290431)",HLTHOUT,MHLTH,3728000.0,37081011101.0,Mental Health
19754,2017,NC,North Carolin,Asheville,Census Tract,BRFSS,Health Outcomes,3702140-37021002203,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,12.4,11.3,13.5,,,1249,"(35.4440672971, -82.5342169332)",HLTHOUT,MHLTH,3702140.0,37021002203.0,Mental Health
17980,2017,NY,New York,New York,Census Tract,BRFSS,Health Outcomes,3651000-36005015300,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,17.2,15.9,18.6,,,4031,"(40.8334460921, -73.8941364062)",HLTHOUT,MHLTH,3651000.0,36005015300.0,Mental Health
831,2017,CA,California,Anaheim,Census Tract,BRFSS,Health Outcomes,0602000-06059087200,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,13.4,12.5,14.3,,,7643,"(33.8357946194, -117.928547693)",HLTHOUT,MHLTH,602000.0,6059087200.0,Mental Health
25056,2017,TX,Texas,Dallas,Census Tract,BRFSS,Health Outcomes,4819000-48113010704,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,18.2,16.4,20.0,,,5378,"(32.7323104262, -96.9087070609)",HLTHOUT,MHLTH,4819000.0,48113010704.0,Mental Health
3526,2017,CA,California,Los Angeles,Census Tract,BRFSS,Health Outcomes,0644000-06037104703,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,17.0,14.8,18.9,,,2397,"(34.2552324771, -118.40059038)",HLTHOUT,MHLTH,644000.0,6037104703.0,Mental Health
5699,2017,CA,California,San Diego,Census Tract,BRFSS,Health Outcomes,0666000-06073003403,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,15.3,13.8,16.8,,,4283,"(32.7136131167, -117.108540958)",HLTHOUT,MHLTH,666000.0,6073003403.0,Mental Health
25883,2017,TX,Texas,Garland,Census Tract,BRFSS,Health Outcomes,4829000-48113019031,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,11.4,10.1,12.8,,,6173,"(32.9736088954, -96.6751585162)",HLTHOUT,MHLTH,4829000.0,48113019031.0,Mental Health
17396,2017,NM,New Mexico,Albuquerque,Census Tract,BRFSS,Health Outcomes,3502000-35001003733,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,Crude prevalence,20.8,19.4,22.2,,,3585,"(35.1375061036, -106.594138264)",HLTHOUT,MHLTH,3502000.0,35001003733.0,Mental Health
