,Facility Name,City,State,HCAHPS Answer Description,County Name,HCAHPS Answer Percent,Number of Completed Surveys,StateDesc,CityName,PopulationCount,Data_Value,CityFIPS
0,60th Medical Group (Travis AFB),fairfield,CA,"Patients who gave a rating of ""6"" or lower (low)",SOLANO,5,940,CA,fairfield,105321.0,13.280769230769234,623182.0
1,60th Medical Group (Travis AFB),fairfield,CA,"Patients who gave a rating of ""7"" or ""8"" (medium)",SOLANO,19,940,CA,fairfield,105321.0,13.280769230769234,623182.0
2,60th Medical Group (Travis AFB),fairfield,CA,"Patients who gave a rating of ""9"" or ""10"" (high)",SOLANO,76,940,CA,fairfield,105321.0,13.280769230769234,623182.0
3,NORTHBAY MEDICAL CENTER,fairfield,CA,"Patients who gave a rating of ""6"" or lower (low)",SOLANO,7,443,CA,fairfield,105321.0,13.280769230769234,623182.0
4,NORTHBAY MEDICAL CENTER,fairfield,CA,"Patients who gave a rating of ""7"" or ""8"" (medium)",SOLANO,27,443,CA,fairfield,105321.0,13.280769230769234,623182.0
5,NORTHBAY MEDICAL CENTER,fairfield,CA,"Patients who gave a rating of ""9"" or ""10"" (high)",SOLANO,66,443,CA,fairfield,105321.0,13.280769230769234,623182.0
6,ABBOTT NORTHWESTERN HOSPITAL,minneapolis,MN,"Patients who gave a rating of ""6"" or lower (low)",HENNEPIN,5,810,MN,minneapolis,382578.0,11.407758620689656,2743000.0
7,ABBOTT NORTHWESTERN HOSPITAL,minneapolis,MN,"Patients who gave a rating of ""7"" or ""8"" (medium)",HENNEPIN,16,810,MN,minneapolis,382578.0,11.407758620689656,2743000.0
8,ABBOTT NORTHWESTERN HOSPITAL,minneapolis,MN,"Patients who gave a rating of ""9"" or ""10"" (high)",HENNEPIN,79,810,MN,minneapolis,382578.0,11.407758620689656,2743000.0
9,CHILDREN'S HOSPITALS & CLINICS OF MN,minneapolis,MN,"Patients who gave a rating of ""6"" or lower (low)",HENNEPIN,0,0,MN,minneapolis,382578.0,11.407758620689656,2743000.0
10,CHILDREN'S HOSPITALS & CLINICS OF MN,minneapolis,MN,"Patients who gave a rating of ""7"" or ""8"" (medium)",HENNEPIN,0,0,MN,minneapolis,382578.0,11.407758620689656,2743000.0
11,CHILDREN'S HOSPITALS & CLINICS OF MN,minneapolis,MN,"Patients who gave a rating of ""9"" or ""10"" (high)",HENNEPIN,0,0,MN,minneapolis,382578.0,11.407758620689656,2743000.0
12,HENNEPIN COUNTY MEDICAL CENTER 1,minneapolis,MN,"Patients who gave a rating of ""6"" or lower (low)",HENNEPIN,11,430,MN,minneapolis,382578.0,11.407758620689656,2743000.0
13,HENNEPIN COUNTY MEDICAL CENTER 1,minneapolis,MN,"Patients who gave a rating of ""7"" or ""8"" (medium)",HENNEPIN,24,430,MN,minneapolis,382578.0,11.407758620689656,2743000.0
14,HENNEPIN COUNTY MEDICAL CENTER 1,minneapolis,MN,"Patients who gave a rating of ""9"" or ""10"" (high)",HENNEPIN,65,430,MN,minneapolis,382578.0,11.407758620689656,2743000.0
15,MINNEAPOLIS VA MEDICAL CENTER,minneapolis,MN,"Patients who gave a rating of ""6"" or lower (low)",HENNEPIN,5,376,MN,minneapolis,382578.0,11.407758620689656,2743000.0
16,MINNEAPOLIS VA MEDICAL CENTER,minneapolis,MN,"Patients who gave a rating of ""7"" or ""8"" (medium)",HENNEPIN,17,376,MN,minneapolis,382578.0,11.407758620689656,2743000.0
17,MINNEAPOLIS VA MEDICAL CENTER,minneapolis,MN,"Patients who gave a rating of ""9"" or ""10"" (high)",HENNEPIN,78,376,MN,minneapolis,382578.0,11.407758620689656,2743000.0
18,"UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW",minneapolis,MN,"Patients who gave a rating of ""6"" or lower (low)",HENNEPIN,7,405,MN,minneapolis,382578.0,11.407758620689656,2743000.0
19,"UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW",minneapolis,MN,"Patients who gave a rating of ""7"" or ""8"" (medium)",HENNEPIN,21,405,MN,minneapolis,382578.0,11.407758620689656,2743000.0
20,"UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW",minneapolis,MN,"Patients who gave a rating of ""9"" or ""10"" (high)",HENNEPIN,72,405,MN,minneapolis,382578.0,11.407758620689656,2743000.0
21,ABILENE REGIONAL MEDICAL CENTER,abilene,TX,"Patients who gave a rating of ""6"" or lower (low)",TAYLOR,9,947,TX,abilene,117063.0,15.08108108108108,4801000.0
22,ABILENE REGIONAL MEDICAL CENTER,abilene,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",TAYLOR,24,947,TX,abilene,117063.0,15.08108108108108,4801000.0
23,ABILENE REGIONAL MEDICAL CENTER,abilene,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",TAYLOR,67,947,TX,abilene,117063.0,15.08108108108108,4801000.0
24,HENDRICK MEDICAL CENTER,abilene,TX,"Patients who gave a rating of ""6"" or lower (low)",TAYLOR,8,558,TX,abilene,117063.0,15.08108108108108,4801000.0
25,HENDRICK MEDICAL CENTER,abilene,TX,"Patients who gave a rating of ""7"" or ""8"" (medium)",TAYLOR,20,558,TX,abilene,117063.0,15.08108108108108,4801000.0
26,HENDRICK MEDICAL CENTER,abilene,TX,"Patients who gave a rating of ""9"" or ""10"" (high)",TAYLOR,72,558,TX,abilene,117063.0,15.08108108108108,4801000.0
27,ABRAZO CENTRAL CAMPUS,phoenix,AZ,"Patients who gave a rating of ""6"" or lower (low)",MARICOPA,13,579,AZ,phoenix,1445632.0,14.457865168539332,455000.0
28,ABRAZO CENTRAL CAMPUS,phoenix,AZ,"Patients who gave a rating of ""7"" or ""8"" (medium)",MARICOPA,25,579,AZ,phoenix,1445632.0,14.457865168539332,455000.0
29,ABRAZO CENTRAL CAMPUS,phoenix,AZ,"Patients who gave a rating of ""9"" or ""10"" (high)",MARICOPA,62,579,AZ,phoenix,1445632.0,14.457865168539332,455000.0
30,ABRAZO SCOTTSDALE CAMPUS,phoenix,AZ,"Patients who gave a rating of ""6"" or lower (low)",MARICOPA,12,584,AZ,phoenix,1445632.0,14.457865168539332,455000.0
31,ABRAZO SCOTTSDALE CAMPUS,phoenix,AZ,"Patients who gave a rating of ""7"" or ""8"" (medium)",MARICOPA,21,584,AZ,phoenix,1445632.0,14.457865168539332,455000.0
32,ABRAZO SCOTTSDALE CAMPUS,phoenix,AZ,"Patients who gave a rating of ""9"" or ""10"" (high)",MARICOPA,67,584,AZ,phoenix,1445632.0,14.457865168539332,455000.0
33,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,phoenix,AZ,"Patients who gave a rating of ""6"" or lower (low)",MARICOPA,7,861,AZ,phoenix,1445632.0,14.457865168539332,455000.0
34,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,phoenix,AZ,"Patients who gave a rating of ""7"" or ""8"" (medium)",MARICOPA,21,861,AZ,phoenix,1445632.0,14.457865168539332,455000.0
35,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,phoenix,AZ,"Patients who gave a rating of ""9"" or ""10"" (high)",MARICOPA,72,861,AZ,phoenix,1445632.0,14.457865168539332,455000.0
36,BANNER ESTRELLA MEDICAL CENTER,phoenix,AZ,"Patients who gave a rating of ""6"" or lower (low)",MARICOPA,9,634,AZ,phoenix,1445632.0,14.457865168539332,455000.0
